date,route,vehicle,files,rows,bad_rows
1117,Route1,Vehicle1,2,436704,0
1118,Route3,Vehicle2,2,474840,0
1118,Route3,Vehicle3,2,473846,0
1120,Route1,Vehicle4,1,2786,169300
1121,Route3,Vehicle4,2,474140,0
1122,Route3,Vehicle1,2,474952,0
1124,Route1,Vehicle5,3,635999,0
1125,Route3,Vehicle6,2,473818,0
1126,Route1,Vehicle7,2,609132,0
1127,Route1,Vehicle6,2,541263,0
1127,Route2,Vehicle8,4,563605,0
1128,Route1,Vehicle9,3,909176,0
1128,Route3,Vehicle10,2,474924,0
1129,Route1,Vehicle8,2,372936,0
1129,Route3,Vehicle11,2,474308,0
1130,Route1,Vehicle11,4,569567,0
1130,Route2,Vehicle12,4,492154,0
1201,Route1,Vehicle13,2,437492,0
1201,Route2,Vehicle5,6,706740,0
1202,Route1,Vehicle14,3,636601,0
1202,Route3,Vehicle15,2,475106,0
1203,Route1,Vehicle16,3,653128,0
1203,Route3,Vehicle17,2,474252,0
1204,Route1,Vehicle18,3,589050,0
1204,Route2,Vehicle19,4,659627,0
1205,Route1,Vehicle19,3,910562,0
1205,Route2,Vehicle18,6,743100,0
1206,Route1,Vehicle20,3,404506,0
1206,Route3,Vehicle9,2,474700,0
1207,Route1,Vehicle17,4,572675,0
1207,Route2,Vehicle20,6,601193,0
1208,Route1,Vehicle21,2,440838,0
1208,Route3,Vehicle22,2,474406,0
1209,Route1,Vehicle15,4,678186,0
1209,Route2,Vehicle16,6,668434,0
1210,Route1,Vehicle23,3,653772,0
1210,Route3,Vehicle7,2,474238,0
1211,Route1,Vehicle2,5,554587,0
1211,Route3,Vehicle21,4,509731,0
1212,Route1,Vehicle10,2,419838,0
1212,Route2,Vehicle22,6,642787,0
1213,Route1,Vehicle12,4,643102,0
1213,Route2,Vehicle23,4,476362,0
1214,Route1,Vehicle22,3,619052,0
1214,Route2,Vehicle24,6,683598,0
1215,Route1,Vehicle25,3,560378,0
1215,Route2,Vehicle26,4,634581,0
1216,Route1,Vehicle3,3,852322,0
1216,Route2,Vehicle14,6,721568,0
1217,Route1,Vehicle23,3,387804,0
1217,Route2,Vehicle13,6,579713,0
